Data,Hora,Leitura
2026-05-20,09:11:11,+    0.00
2026-05-20,09:11:16,+    0.00
2026-05-20,09:11:21,+    0.00
2026-05-20,09:11:26,-    0.01
2026-05-20,09:11:32,+    0.00
2026-05-20,09:11:37,+    0.00
2026-05-20,09:11:42,+    0.00
2026-05-20,09:11:46,+    0.01
2026-05-20,09:11:51,+    0.00
2026-05-20,09:11:56,+    0.00
2026-05-20,09:12:01,+    0.00
2026-05-20,09:12:06,+    0.00
2026-05-20,09:12:11,+    0.01
2026-05-20,09:12:17,+    0.00
2026-05-20,09:12:22,+    0.00
2026-05-20,09:12:26,+    0.00
2026-05-20,09:12:31,+    0.00
2026-05-20,09:12:36,+    0.00
2026-05-20,09:12:41,+    0.00
2026-05-20,09:12:46,+    0.00
2026-05-20,09:12:51,+    0.00
2026-05-20,09:12:57,+    0.00
2026-05-20,09:13:01,+    0.00
2026-05-20,09:13:06,+    0.01
2026-05-20,09:13:11,+    0.00
2026-05-20,09:13:16,+    0.00
2026-05-20,09:13:21,+    0.00
2026-05-20,09:13:26,+    0.01
2026-05-20,09:13:31,+    0.00
2026-05-20,09:13:36,+    0.01
2026-05-20,09:13:42,+    0.01
2026-05-20,09:13:47,+    0.01
2026-05-20,09:13:52,+    0.01
2026-05-20,09:13:56,+    0.00
2026-05-20,09:14:01,+    0.00
2026-05-20,09:14:06,+    0.01
2026-05-20,09:14:11,+    0.00
2026-05-20,09:14:16,+    0.00
2026-05-20,09:14:22,+    0.00
2026-05-20,09:14:27,+    0.00
2026-05-20,09:14:32,+    0.00
2026-05-20,09:14:36,+    0.00
2026-05-20,09:14:41,+    0.00
2026-05-20,09:14:47,+    0.00
2026-05-20,09:14:52,+    0.00
2026-05-20,09:14:57,+    0.00
2026-05-20,09:15:01,+    0.00
2026-05-20,09:15:06,+    0.00
2026-05-20,09:15:11,+    0.00
2026-05-20,09:15:16,+    0.00
2026-05-20,09:15:21,+    0.00
2026-05-20,09:15:27,+    0.01
2026-05-20,09:15:32,+    0.01
2026-05-20,09:15:37,+    0.01
2026-05-20,09:15:42,+    0.01
2026-05-20,09:15:46,+    0.00
2026-05-20,09:15:51,+    0.00
2026-05-20,09:15:56,+    0.09
2026-05-20,09:16:01,+    0.17
2026-05-20,09:16:06,+    0.24
2026-05-20,09:16:11,+    0.30
2026-05-20,09:16:16,+    0.33
2026-05-20,09:16:21,+    0.33
2026-05-20,09:16:26,+    0.33
2026-05-20,09:16:32,+    0.44
2026-05-20,09:16:37,+    0.45
2026-05-20,09:16:42,+    0.49
2026-05-20,09:16:47,+    0.49
2026-05-20,09:16:51,+    0.49
2026-05-20,09:16:56,+    0.49
2026-05-20,09:17:01,+    0.49
2026-05-20,09:17:06,+    0.49
2026-05-20,09:17:11,+    0.57
2026-05-20,09:17:16,+    0.63
2026-05-20,09:17:21,+    0.72
2026-05-20,09:17:26,+    0.82
2026-05-20,09:17:31,+    0.89
2026-05-20,09:17:36,+    0.95
2026-05-20,09:17:41,+    1.00
2026-05-20,09:17:46,+    1.01
2026-05-20,09:17:51,+    1.01
2026-05-20,09:17:56,+    1.01
2026-05-20,09:18:01,+    1.05
2026-05-20,09:18:06,+    1.10
2026-05-20,09:18:11,+    1.18
2026-05-20,09:18:17,+    1.24
2026-05-20,09:18:21,+    1.30
2026-05-20,09:18:26,+    1.34
2026-05-20,09:18:31,+    1.35
2026-05-20,09:18:36,+    1.36
2026-05-20,09:18:42,+    1.36
2026-05-20,09:18:47,+    1.40
2026-05-20,09:18:51,+    1.42
2026-05-20,09:18:56,+    1.44
2026-05-20,09:19:02,+    1.49
2026-05-20,09:19:06,+    1.53
2026-05-20,09:19:11,+    1.55
2026-05-20,09:19:16,+    1.55
2026-05-20,09:19:21,+    1.63
2026-05-20,09:19:27,+    1.72
2026-05-20,09:19:32,+    1.80
2026-05-20,09:19:37,+    1.87
2026-05-20,09:19:42,+    1.93
2026-05-20,09:19:46,+    1.97
2026-05-20,09:19:51,+    2.01
2026-05-20,09:19:56,+    2.01
2026-05-20,09:20:01,+    2.05
2026-05-20,09:20:06,+    2.11
2026-05-20,09:20:11,+    2.17
2026-05-20,09:20:16,+    2.22
2026-05-20,09:20:21,+    2.22
2026-05-20,09:20:27,+    2.22
2026-05-20,09:20:32,+    2.27
2026-05-20,09:20:37,+    2.34
2026-05-20,09:20:42,+    2.35
2026-05-20,09:20:47,+    2.43
2026-05-20,09:20:51,+    2.50
2026-05-20,09:20:56,+    2.57
2026-05-20,09:21:01,+    2.62
2026-05-20,09:21:06,+    2.66
2026-05-20,09:21:12,+    2.66
2026-05-20,09:21:17,+    2.67
2026-05-20,09:21:22,+    2.72
2026-05-20,09:21:27,+    2.79
2026-05-20,09:21:32,+    2.84
2026-05-20,09:21:36,+    2.87
2026-05-20,09:21:41,+    2.91
2026-05-20,09:21:46,+    2.92
2026-05-20,09:21:52,+    3.00
2026-05-20,09:21:56,+    3.07
2026-05-20,09:22:01,+    3.12
2026-05-20,09:22:06,+    3.16
2026-05-20,09:22:11,+    3.18
2026-05-20,09:22:16,+    3.20
2026-05-20,09:22:21,+    3.25
2026-05-20,09:22:26,+    3.28
2026-05-20,09:22:31,+    3.30
2026-05-20,09:22:37,+    3.37
2026-05-20,09:22:42,+    3.43
