Data,Hora,Leitura
2026-06-26,11:22:17,+    0.04
2026-06-26,11:22:22,+    0.36
2026-06-26,11:22:27,+    0.48
2026-06-26,11:22:32,+    0.61
2026-06-26,11:22:37,+    0.74
2026-06-26,11:22:42,+    1.05
2026-06-26,11:22:47,+    1.15
2026-06-26,11:22:52,+    1.24
2026-06-26,11:22:57,+    1.56
2026-06-26,11:23:02,+    1.68
2026-06-26,11:23:07,+    1.83
2026-06-26,11:23:12,+    1.91
2026-06-26,11:23:17,+    2.01
2026-06-26,11:23:22,+    2.38
2026-06-26,11:23:27,+    2.49
2026-06-26,11:23:32,+    2.53
2026-06-26,11:23:37,+    2.63
2026-06-26,11:23:42,+    2.82
2026-06-26,11:23:47,+    3.10
2026-06-26,11:23:52,+    3.17
2026-06-26,11:23:57,+    3.29
2026-06-26,11:24:02,+    3.61
2026-06-26,11:24:07,+    3.66
2026-06-26,11:24:12,+    3.78
2026-06-26,11:24:17,+    3.98
2026-06-26,11:24:22,+    4.24
2026-06-26,11:24:27,+    4.38
2026-06-26,11:24:32,+    4.43
2026-06-26,11:24:37,+    4.76
2026-06-26,11:24:42,+    4.81
2026-06-26,11:24:47,+    4.90
2026-06-26,11:24:52,+    5.10
2026-06-26,11:24:57,+    5.34
2026-06-26,11:25:02,+    5.49
2026-06-26,11:25:07,+    5.74
2026-06-26,11:25:12,+    5.86
2026-06-26,11:25:17,+    6.10
2026-06-26,11:25:22,+    6.23
2026-06-26,11:25:27,+    6.31
2026-06-26,11:25:32,+    6.55
2026-06-26,11:25:37,+    6.68
2026-06-26,11:25:42,+    6.76
2026-06-26,11:25:47,+    7.07
2026-06-26,11:25:52,+    7.16
2026-06-26,11:25:57,+    7.25
2026-06-26,11:26:02,+    7.52
2026-06-26,11:26:07,+    7.65
2026-06-26,11:26:12,+    7.74
2026-06-26,11:26:17,+    7.96
2026-06-26,11:26:22,+    8.20
2026-06-26,11:26:27,+    8.28
2026-06-26,11:26:32,+    8.48
2026-06-26,11:26:37,+    8.66
2026-06-26,11:26:42,+    8.72
2026-06-26,11:26:47,+    9.00
2026-06-26,11:26:52,+    9.05
2026-06-26,11:26:57,+    9.24
2026-06-26,11:27:02,+    9.37
2026-06-26,11:27:07,+    9.55
2026-06-26,11:27:12,+    9.71
2026-06-26,11:27:17,+    9.80
2026-06-26,11:27:22,+   10.08
2026-06-26,11:27:27,+   10.24
2026-06-26,11:27:32,+   10.30
2026-06-26,11:27:37,+   10.50
2026-06-26,11:27:42,+   10.58
2026-06-26,11:27:47,+   10.81
2026-06-26,11:27:52,+   10.91
2026-06-26,11:27:57,+   11.08
2026-06-26,11:28:02,+   11.24
2026-06-26,11:28:07,+   11.30
2026-06-26,11:28:12,+   11.37
2026-06-26,11:28:17,+   11.70
2026-06-26,11:28:22,+   11.87
2026-06-26,11:28:27,+   11.93
2026-06-26,11:28:32,+   12.25
2026-06-26,11:28:37,+   12.32
2026-06-26,11:28:42,+   12.42
2026-06-26,11:28:47,+   12.67
2026-06-26,11:28:52,+   12.73
2026-06-26,11:28:57,+   12.85
2026-06-26,11:29:02,+   13.16
2026-06-26,11:29:07,+   13.24
2026-06-26,11:29:12,+   13.33
2026-06-26,11:29:17,+   13.53
2026-06-26,11:29:22,+   13.74
2026-06-26,11:29:27,+   13.81
2026-06-26,11:29:32,+   14.01
2026-06-26,11:29:37,+   14.19
2026-06-26,11:29:42,+   14.26
2026-06-26,11:29:47,+   14.40
2026-06-26,11:29:52,+   14.60
2026-06-26,11:29:57,+   14.84
2026-06-26,11:30:02,+   14.90
2026-06-26,11:30:07,+   15.08
2026-06-26,11:30:12,+   15.28
2026-06-26,11:30:17,+   15.35
2026-06-26,11:30:22,+   15.47
2026-06-26,11:30:27,+   15.80
2026-06-26,11:30:32,+   15.89
2026-06-26,11:30:37,+   15.96
2026-06-26,11:30:42,+   16.05
2026-06-26,11:30:47,+   16.26
2026-06-26,11:30:52,+   16.58
2026-06-26,11:30:57,+   16.69
2026-06-26,11:31:02,+   16.76
2026-06-26,11:31:07,+   16.83
2026-06-26,11:31:12,+   17.17
2026-06-26,11:31:17,+   17.36
2026-06-26,11:31:22,+   17.46
2026-06-26,11:31:27,+   17.55
2026-06-26,11:31:32,+   17.63
2026-06-26,11:31:37,+   17.84
2026-06-26,11:31:42,+   18.05
2026-06-26,11:31:47,+   18.29
2026-06-26,11:31:52,+   18.39
2026-06-26,11:31:57,+   18.48
2026-06-26,11:32:02,+   18.52
2026-06-26,11:32:07,+   18.63
2026-06-26,11:32:12,+   18.81
2026-06-26,11:32:17,+   18.99
2026-06-26,11:32:22,+   19.17
2026-06-26,11:32:27,+   19.47
2026-06-26,11:32:32,+   19.64
2026-06-26,11:32:37,+   19.87
2026-06-26,11:32:42,+   20.00
2026-06-26,11:32:47,+   20.15
2026-06-26,11:32:52,+   20.29
2026-06-26,11:32:57,+   20.36
2026-06-26,11:33:02,+   20.62
2026-06-26,11:33:07,+   20.79
2026-06-26,11:33:12,+   20.86
2026-06-26,11:33:17,+   21.09
2026-06-26,11:33:22,+   21.29
2026-06-26,11:33:27,+   21.46
2026-06-26,11:33:32,+   21.53
2026-06-26,11:33:37,+   21.74
2026-06-26,11:33:42,+   21.85
2026-06-26,11:33:47,+   22.13
2026-06-26,11:33:52,+   22.21
2026-06-26,11:33:57,+   22.36
2026-06-26,11:34:02,+   22.44
2026-06-26,11:34:07,+   22.59
2026-06-26,11:34:12,+   22.74
2026-06-26,11:34:17,+   23.02
2026-06-26,11:34:22,+   23.10
2026-06-26,11:34:27,+   23.31
2026-06-26,11:34:32,+   23.48
2026-06-26,11:34:37,+   23.55
2026-06-26,11:34:42,+   23.80
2026-06-26,11:34:47,+   23.88
2026-06-26,11:34:52,+   24.09
2026-06-26,11:34:57,+   24.23
2026-06-26,11:35:02,+   24.35
2026-06-26,11:35:07,+   24.49
2026-06-26,11:35:12,+   24.69
2026-06-26,11:35:17,+   24.87
2026-06-26,11:35:22,+   25.09
2026-06-26,11:35:27,+   25.24
2026-06-26,11:35:32,+   25.32
2026-06-26,11:35:37,+   25.40
2026-06-26,11:35:42,+   25.61
2026-06-26,11:35:47,+   25.83
2026-06-26,11:35:52,+   26.05
2026-06-26,11:35:57,+   26.17
2026-06-26,11:36:02,+   26.35
2026-06-26,11:36:07,+   26.42
2026-06-26,11:36:12,+   26.54
2026-06-26,11:36:17,+   26.70
2026-06-26,11:36:22,+   26.88
2026-06-26,11:36:27,+   27.05
2026-06-26,11:36:32,+   27.25
2026-06-26,11:36:37,+   27.41
2026-06-26,11:36:42,+   27.49
2026-06-26,11:36:47,+   27.68
2026-06-26,11:36:52,+   27.88
2026-06-26,11:36:57,+   28.10
2026-06-26,11:37:02,+   28.30
2026-06-26,11:37:07,+   28.47
2026-06-26,11:37:12,+   28.58
2026-06-26,11:37:17,+   28.82
2026-06-26,11:37:22,+   29.02
2026-06-26,11:37:27,+   29.09
2026-06-26,11:37:32,+   29.27
2026-06-26,11:37:37,+   29.46
2026-06-26,11:37:42,+   29.69
2026-06-26,11:37:47,+   29.85
2026-06-26,11:37:52,+   29.92
2026-06-26,11:37:57,+   30.22
2026-06-26,11:38:02,+   30.33
2026-06-26,11:38:07,+   30.51
2026-06-26,11:38:12,+   30.66
2026-06-26,11:38:17,+   30.74
2026-06-26,11:38:22,+   30.93
2026-06-26,11:38:27,+   31.26
2026-06-26,11:38:32,+   31.33
2026-06-26,11:38:37,+   31.46
2026-06-26,11:38:42,+   31.80
2026-06-26,11:38:47,+   31.89
2026-06-26,11:38:52,+   32.09
2026-06-26,11:38:57,+   32.18
2026-06-26,11:39:02,+   32.45
2026-06-26,11:39:07,+   32.56
2026-06-26,11:39:12,+   32.71
2026-06-26,11:39:17,+   32.94
2026-06-26,11:39:22,+   33.04
2026-06-26,11:39:27,+   33.26
2026-06-26,11:39:32,+   33.44
2026-06-26,11:39:37,+   33.58
2026-06-26,11:39:42,+   33.79
2026-06-26,11:39:47,+   33.89
2026-06-26,11:39:52,+   34.11
2026-06-26,11:39:57,+   34.24
2026-06-26,11:40:02,+   34.47
2026-06-26,11:40:07,+   34.62
2026-06-26,11:40:12,+   34.76
2026-06-26,11:40:17,+   34.99
2026-06-26,11:40:22,+   35.09
2026-06-26,11:40:27,+   35.26
2026-06-26,11:40:32,+   35.43
2026-06-26,11:40:37,+   35.54
2026-06-26,11:40:42,+   35.77
2026-06-26,11:40:47,+   35.86
2026-06-26,11:40:52,+   35.97
2026-06-26,11:40:57,+   36.14
2026-06-26,11:41:02,+   36.38
2026-06-26,11:41:07,+   36.53
2026-06-26,11:41:12,+   36.71
2026-06-26,11:41:17,+   36.97
2026-06-26,11:41:22,+   37.01
2026-06-26,11:41:27,+   37.22
2026-06-26,11:41:32,+   37.42
2026-06-26,11:41:37,+   37.52
2026-06-26,11:41:42,+   37.74
2026-06-26,11:41:47,+   37.95
2026-06-26,11:41:52,+   38.06
2026-06-26,11:41:57,+   38.14
2026-06-26,11:42:02,+   38.41
2026-06-26,11:42:07,+   38.51
2026-06-26,11:42:12,+   38.73
2026-06-26,11:42:17,+   38.87
2026-06-26,11:42:22,+   38.94
2026-06-26,11:42:27,+   39.16
2026-06-26,11:42:32,+   39.37
2026-06-26,11:42:37,+   39.44
2026-06-26,11:42:42,+   39.77
2026-06-26,11:42:47,+   39.86
2026-06-26,11:42:52,+   39.93
2026-06-26,11:42:57,+   40.22
2026-06-26,11:43:02,+   40.35
2026-06-26,11:43:07,+   40.48
2026-06-26,11:43:12,+   40.68
2026-06-26,11:43:17,+   40.79
2026-06-26,11:43:22,+   40.91
2026-06-26,11:43:27,+   41.08
2026-06-26,11:43:32,+   41.34
2026-06-26,11:43:37,+   41.46
2026-06-26,11:43:42,+   41.63
2026-06-26,11:43:47,+   41.85
2026-06-26,11:43:52,+   41.98
2026-06-26,11:43:57,+   42.10
2026-06-26,11:44:02,+   42.40
2026-06-26,11:44:07,+   42.49
2026-06-26,11:44:12,+   42.58
2026-06-26,11:44:17,+   42.82
2026-06-26,11:44:22,+   43.02
2026-06-26,11:44:27,+   43.27
2026-06-26,11:44:32,+   43.50
2026-06-26,11:44:37,+   43.65
2026-06-26,11:44:42,+   43.74
2026-06-26,11:44:47,+   44.02
2026-06-26,11:44:52,+   44.12
2026-06-26,11:44:57,+   44.21
2026-06-26,11:45:02,+   44.38
2026-06-26,11:45:07,+   44.71
2026-06-26,11:45:12,+   44.77
2026-06-26,11:45:17,+   45.05
2026-06-26,11:45:22,+   45.14
2026-06-26,11:45:27,+   45.27
2026-06-26,11:45:32,+   45.51
2026-06-26,11:45:37,+   45.67
2026-06-26,11:45:42,+   45.75
2026-06-26,11:45:47,+   45.92
2026-06-26,11:45:52,+   46.13
2026-06-26,11:45:57,+   46.36
2026-06-26,11:46:02,+   46.54
2026-06-26,11:46:07,+   46.75
2026-06-26,11:46:12,+   46.84
2026-06-26,11:46:17,+   46.92
2026-06-26,11:46:22,+   47.15
2026-06-26,11:46:27,+   47.40
2026-06-26,11:46:32,+   47.68
2026-06-26,11:46:37,+   47.78
2026-06-26,11:46:42,+   47.98
2026-06-26,11:46:47,+   48.12
2026-06-26,11:46:52,+   48.30
2026-06-26,11:46:57,+   48.40
2026-06-26,11:47:02,+   48.51
2026-06-26,11:47:07,+   48.80
2026-06-26,11:47:12,+   49.04
2026-06-26,11:47:17,+   49.13
2026-06-26,11:47:22,+   49.22
2026-06-26,11:47:27,+   49.47
2026-06-26,11:47:32,+   49.70
2026-06-26,11:47:37,+   49.81
2026-06-26,11:47:42,+   50.01
2026-06-26,11:47:47,+   50.24
2026-06-26,11:47:52,+   50.37
2026-06-26,11:47:57,+   50.63
2026-06-26,11:48:02,+   50.74
2026-06-26,11:48:07,+   50.93
2026-06-26,11:48:12,+   51.04
2026-06-26,11:48:17,+   51.31
2026-06-26,11:48:22,+   51.39
2026-06-26,11:48:27,+   51.51
2026-06-26,11:48:32,+   51.80
2026-06-26,11:48:37,+   51.89
2026-06-26,11:48:42,+   52.00
2026-06-26,11:48:47,+   52.10
2026-06-26,11:48:52,+   52.39
2026-06-26,11:48:57,+   52.47
2026-06-26,11:49:02,+   52.63
2026-06-26,11:49:07,+   52.71
2026-06-26,11:49:12,+   52.93
2026-06-26,11:49:17,+   53.14
2026-06-26,11:49:22,+   53.38
2026-06-26,11:49:27,+   53.50
2026-06-26,11:49:32,+   53.54
2026-06-26,11:49:37,+   53.71
2026-06-26,11:49:42,+   53.89
2026-06-26,11:49:47,+   54.03
2026-06-26,11:49:52,+   54.28
2026-06-26,11:49:57,+   54.34
2026-06-26,11:50:02,+   54.48
2026-06-26,11:50:07,+   54.66
2026-06-26,11:50:12,+   54.81
2026-06-26,11:50:17,+   54.89
2026-06-26,11:50:22,+   55.04
2026-06-26,11:50:27,+   55.30
2026-06-26,11:50:32,+   55.53
2026-06-26,11:50:37,+   55.59
2026-06-26,11:50:42,+   55.67
2026-06-26,11:50:47,+   55.88
2026-06-26,11:50:52,+   56.04
2026-06-26,11:50:57,+   56.10
2026-06-26,11:51:02,+   56.22
2026-06-26,11:51:07,+   56.45
2026-06-26,11:51:12,+   56.70
2026-06-26,11:51:17,+   56.79
2026-06-26,11:51:22,+   56.92
2026-06-26,11:51:27,+   57.13
2026-06-26,11:51:32,+   57.39
2026-06-26,11:51:37,+   57.57
2026-06-26,11:51:42,+   57.77
2026-06-26,11:51:47,+   57.85
2026-06-26,11:51:52,+   58.02
2026-06-26,11:51:57,+   58.20
2026-06-26,11:52:02,+   58.60
2026-06-26,11:52:07,+   58.69
2026-06-26,11:52:12,+   58.77
2026-06-26,11:52:17,+   58.85
2026-06-26,11:52:22,+   59.04
2026-06-26,11:52:27,+   59.32
2026-06-26,11:52:32,+   59.46
2026-06-26,11:52:37,+   59.56
2026-06-26,11:52:42,+   59.70
2026-06-26,11:52:47,+   59.91
2026-06-26,11:52:52,+   60.08
2026-06-26,11:52:57,+   60.22
2026-06-26,11:53:02,+   60.50
2026-06-26,11:53:07,+   60.63
2026-06-26,11:53:12,+   60.70
2026-06-26,11:53:17,+   60.78
2026-06-26,11:53:22,+   60.94
2026-06-26,11:53:27,+   61.13
2026-06-26,11:53:32,+   61.39
2026-06-26,11:53:37,+   61.56
2026-06-26,11:53:42,+   61.77
2026-06-26,11:53:47,+   61.97
2026-06-26,11:53:52,+   62.16
2026-06-26,11:53:57,+   62.26
2026-06-26,11:54:02,+   62.59
2026-06-26,11:54:07,+   62.69
2026-06-26,11:54:12,+   62.75
2026-06-26,11:54:17,+   63.06
2026-06-26,11:54:22,+   63.14
2026-06-26,11:54:27,+   63.23
2026-06-26,11:54:32,+   63.51
2026-06-26,11:54:37,+   63.61
2026-06-26,11:54:42,+   63.69
2026-06-26,11:54:47,+   63.80
2026-06-26,11:54:52,+   64.15
2026-06-26,11:54:57,+   64.20
2026-06-26,11:55:02,+   64.45
2026-06-26,11:55:07,+   64.57
2026-06-26,11:55:12,+   64.81
2026-06-26,11:55:17,+   64.92
2026-06-26,11:55:22,+   65.04
2026-06-26,11:55:27,+   65.15
2026-06-26,11:55:32,+   65.38
2026-06-26,11:55:37,+   65.51
2026-06-26,11:55:42,+   65.68
2026-06-26,11:55:47,+   65.86
2026-06-26,11:55:52,+   65.98
2026-06-26,11:55:57,+   66.22
2026-06-26,11:56:02,+   66.30
2026-06-26,11:56:07,+   66.48
2026-06-26,11:56:12,+   66.68
2026-06-26,11:56:17,+   66.83
2026-06-26,11:56:22,+   66.93
2026-06-26,11:56:27,+   67.02
2026-06-26,11:56:32,+   67.26
2026-06-26,11:56:37,+   67.33
2026-06-26,11:56:42,+   67.46
2026-06-26,11:56:47,+   67.62
2026-06-26,11:56:52,+   67.83
2026-06-26,11:56:57,+   68.01
2026-06-26,11:57:02,+   68.10
2026-06-26,11:57:07,+   68.21
2026-06-26,11:57:12,+   68.39
2026-06-26,11:57:17,+   68.60
2026-06-26,11:57:22,+   68.80
2026-06-26,11:57:27,+   68.89
2026-06-26,11:57:32,+   68.98
2026-06-26,11:57:37,+   69.30
2026-06-26,11:57:42,+   69.44
2026-06-26,11:57:47,+   69.54
2026-06-26,11:57:52,+   69.64
2026-06-26,11:57:57,+   69.82
2026-06-26,11:58:02,+   69.99
2026-06-26,11:58:07,+   70.18
2026-06-26,11:58:12,+   70.39
2026-06-26,11:58:17,+   70.52
2026-06-26,11:58:22,+   70.60
2026-06-26,11:58:27,+   70.88
2026-06-26,11:58:32,+   71.12
2026-06-26,11:58:37,+   71.21
2026-06-26,11:58:42,+   71.31
2026-06-26,11:58:47,+   71.44
2026-06-26,11:58:52,+   71.69
2026-06-26,11:58:57,+   71.89
2026-06-26,11:59:02,+   72.02
2026-06-26,11:59:07,+   72.13
