experimento,valor da vazao,valor da Temperatura de entrada lado quente
1,800 ml/min,60°C
2,1000 ml/min,50°C
3,1000 ml/min,50°C
4,1200 ml/min,40°C
5,1200 ml/min,60°C
6,1000 ml/min,40°C
7,800 ml/min,40°C
8,1000 ml/min,60°C
9,1200 ml/min,50°C
10,800 ml/min,50°C
11,1000 ml/min,55°C
12,1200 ml/min,45°C
13,800 ml/min,60°C
14,1000 ml/min,50°C
15,800 ml/min,55°C
16,1000 ml/min,45°C
17,1200 ml/min,55°C
18,800 ml/min,45°C
19,800 ml/min,45°C
20,1200 ml/min,55°C
21,800 ml/min,60°C
22,1000 ml/min,60°C
23,1200 ml/min,60°C
24,800 ml/min,40°C
25,1000 ml/min,40°C
26,1200 ml/min,40°C
27,1000 ml/min,60°C
28,800 ml/min,60°C
29,1200 ml/min,60°C
30,1200 ml/min,40°C
31,1000 ml/min,40°C
32,800 ml/min,40°C
33,800 ml/min,40°C
34,1000 ml/min,40°C
35,1200 ml/min,40°C
36,1000 ml/min,60°C
37,1200 ml/min,80°C
38,1000 ml/min,80°C
39,800 ml/min,80°C
40,1000 ml/min,80°C
41,1000 ml/min,80°C
42,1200 ml/min,80°C
