Data,Hora,Leitura
2026-06-18,11:27:18,+    0.01
2026-06-18,11:27:23,+    0.01
2026-06-18,11:27:29,+    0.81
2026-06-18,11:27:34,+   67.67
2026-06-18,11:27:39,+  138.53
2026-06-18,11:27:44,+  212.47
2026-06-18,11:27:49,+  286.41
2026-06-18,11:27:54,+  360.52
2026-06-18,11:27:58,+  431.97
2026-06-18,11:28:03,+  506.11
2026-06-18,11:28:08,+  580.21
2026-06-18,11:28:14,+  654.38
2026-06-18,11:28:19,+  728.35
2026-06-18,11:28:23,+  799.65
2026-06-18,11:28:28,+  873.85
2026-06-18,11:28:34,+  947.97
2026-06-18,11:28:39,+ 1022.13
2026-06-18,11:28:44,+ 1093.41
2026-06-18,11:28:49,+ 1167.46
2026-06-18,11:28:54,+ 1241.47
2026-06-18,11:28:59,+ 1315.43
2026-06-18,11:29:03,+ 1386.54
2026-06-18,11:29:08,+ 1460.40
2026-06-18,11:29:13,+ 1534.34
2026-06-18,11:29:19,+ 1608.16
2026-06-18,11:29:24,+ 1682.04
2026-06-18,11:29:29,+ 1753.18
2026-06-18,11:29:34,+ 1826.93
2026-06-18,11:29:39,+ 1900.58
2026-06-18,11:29:44,+ 1974.28
2026-06-18,11:29:49,+ 2027.04
2026-06-18,11:29:54,+ 2041.80
2026-06-18,11:29:59,+ 2041.82
